customer_id,credit,country,gender,age,tenure,balance,products,card,active,salary,churn,churn_label,gender_encoded,country_encoded,churn_prob,churn_pred,risk_flag,churn_rate
15634602,619,France,Female,42,2,0.0,1,1,1,101348.88,1,Churned,0,0,0.12545128080602921,0,Low,20.369999999999997
15647311,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,Retained,0,2,0.2593527849220564,0,Low,20.369999999999997
15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,Churned,0,0,0.4550179437206887,0,Low,20.369999999999997
15701354,699,France,Female,39,1,0.0,2,0,0,93826.63,0,Retained,0,0,0.27715513728022223,0,Low,20.369999999999997
15737888,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,Retained,0,2,0.1698495555761396,0,Low,20.369999999999997
15574012,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,Churned,1,2,0.31313530098894354,0,Low,20.369999999999997
15592531,822,France,Male,50,7,0.0,2,1,1,10062.8,0,Retained,1,0,0.04781926740984075,0,Low,20.369999999999997
15656148,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,Churned,0,1,0.33716636138952644,0,Low,20.369999999999997
15792365,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,Retained,1,0,0.15909796682387384,0,Low,20.369999999999997
15592389,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,Retained,1,0,0.039369126874702724,0,Low,20.369999999999997
15767821,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,Retained,1,0,0.18677408114142177,0,Low,20.369999999999997
15737173,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,Retained,1,2,0.12705224805673554,0,Low,20.369999999999997
15632264,476,France,Female,34,10,0.0,2,1,0,26260.98,0,Retained,0,0,0.23468648547465934,0,Low,20.369999999999997
15691483,549,France,Female,25,5,0.0,2,0,0,190857.79,0,Retained,0,0,0.16312522482735253,0,Low,20.369999999999997
15600882,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,Retained,0,2,0.08329859447264444,0,Low,20.369999999999997
15643966,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,Retained,1,1,0.15819343973910435,0,Low,20.369999999999997
15737452,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,Churned,1,1,0.6099894143724638,1,High,20.369999999999997
15788218,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,Retained,0,2,0.050378325274164026,0,Low,20.369999999999997
15661507,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,Retained,1,2,0.3449390158486567,0,Low,20.369999999999997
15568982,726,France,Female,24,6,0.0,2,1,1,54724.03,0,Retained,0,0,0.02461342228377433,0,Low,20.369999999999997
15577657,732,France,Male,41,8,0.0,2,1,1,170886.17,0,Retained,1,0,0.03205149470743867,0,Low,20.369999999999997
15597945,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,Retained,0,2,0.2126979117556367,0,Low,20.369999999999997
15699309,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,Churned,0,2,0.4330584680368431,0,Low,20.369999999999997
15725737,669,France,Male,46,3,0.0,2,0,1,8487.75,0,Retained,1,0,0.07455102541789314,0,Low,20.369999999999997
15625047,846,France,Female,38,5,0.0,1,1,1,187616.16,0,Retained,0,0,0.050138748255915036,0,Low,20.369999999999997
15738191,577,France,Male,25,3,0.0,2,0,1,124508.29,0,Retained,1,0,0.02544325042330109,0,Low,20.369999999999997
15736816,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,Retained,1,1,0.06667340414464282,0,Low,20.369999999999997
15700772,571,France,Male,44,9,0.0,2,0,0,38433.35,0,Retained,1,0,0.21655207460382075,0,Low,20.369999999999997
